,distr,address,phone,fullname,form,head,latitude,longitude
198,район Люблино,"109559, г. Москва, ул. Белореченская, д. 8",(495) 359-67-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 2010 имени Героя Советского Союза М.П. Судакова»,бюджетное,Бронзес Татьяна Евгеньевна,37.7502203748,55.671001142
199,район Богородское,"107258, г. Москва, ул. 3-я Гражданская, д.64",(495) 964-88-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1797 «Богородская»,бюджетное,Евдокимов Евгений Олегович,37.7091583527,55.8074581764
200,Обручевский район,"119421, г. Москва, ул.Новаторов, д.34, корп.1",(499) 739-84-89,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 9»,бюджетное,Сахарова Ирина Николаевна,37.5231480418,55.6633747587
201,Донской район,"109443, г. Москва, Есенинский бульвар, дом 12, корпус 2",(499) 127-14-65,Государственное бюджетное учреждение города Москвы «Городской психолого-педагогический центр Департамента образования города Москвы»,бюджетное,Олтаржевская Любовь Евгеньевна,37.5162805388,55.6089576256
202,район Кузьминки,"109457, г. Москва, ул. Федора Полетаева, д.2, корп.7",(499) 175-83-16,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Педагогический колледж № 10»,бюджетное,Зимнухова Татьяна Юрьевна,37.7701240958,55.7136160034
203,район Марьино,"109369, г. Москва, ул. Перерва, дом 44",(495) 349-12-61,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2087 «Многопрофильный образовательный комплекс «Открытие»,бюджетное,Спиридонова Елена Сергеевна,37.7360566832,55.6521359613
204,район Раменки,"119607, г. Москва, Мичуринский проспект, д. 23",(495) 931-36-36,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1498 «Московская Международная Школа»,бюджетное,Лукьянова Наталья Геннадьевна,37.5067604195,55.6948175836
205,район Чертаново Центральное,"117519, г. Москва, ул.Чертановская, д.27",(495) 314-62-42,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1173»,бюджетное,Родина Ирина Алексеевна,37.6022625095,55.6156060234
206,район Матушкино,"124482, г. Москва, Зеленоград, корп. 142",(499) 736-00-26,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 842»,бюджетное,Макарова Ольга Евгеньевна,37.2119815211,56.0062752268
207,район Люблино,"109380, г. Москва, ул. Степана Шутова, д. 8, кор. 3",(499) 784-02-60,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 913 имени Героя Советского Союза С.Ф. Шутова»,бюджетное,Клочихин Михаил Станиславович,37.8102345869,55.6749454434
208,Войковский район,"105425, г. Москва, ул. 5-я Парковая, дом 51",(495) 452-27-84,Государственное бюджетное образовательное учреждение дополнительного профессионального образования города Москвы «Центр военно-патриотического и гражданского воспитания»,бюджетное,Мельниченко Игорь Иннокентьевич,37.6067110973,55.7194166484
209,район Коньково,"117437, г. Москва, ул. Профсоюзная, дом 118-Б",(495) 335-92-77,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 113,бюджетное,Сухорукова Нина Леонидовна,37.5192772196,55.6405765105
210,район Орехово-Борисово Южное,"115583, г. Москва, ул. Воронежская, д.26, корп.4",(495) 398-50-89,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 896»,бюджетное,Матвеенкова Елена Николаевна,37.7345809414,55.6081651794
211,район Левобережный,"125565, г. Москва, ул. Ленинградское шоссе, д. 94а",(499) 457-70-71,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 167 имени Маршала Л.А. Говорова»,бюджетное,Момот Карина Робертовна,37.4780280705,55.8619020215
212,район Измайлово,"105043, г. Москва, Первомайская улица, 65",(495) 465-28-11,Государственное бюджетное общеобразовательное учреждение города Москвы «Измайловская гимназия № 1508»,бюджетное,Меламуд Вадим Эмильевич,37.8018974953,55.7964926591
213,район Люблино,"109263, г. Москва, ул. Шкулева, д. 13/25, корп. 2",(499) 178-56-61,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Многопрофильный центр образования»,бюджетное,Востриков Сергей Петрович,37.7422739963,55.6718293762
214,Ярославский район,"129337, г. Москва, ул.Федоскинская, д.4",(499) 182-08-10,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1374»,бюджетное,Бриткевич Маргарита Сергеевна,37.7039575226,55.8706840878
215,район Крюково,"124683, г. Москва, Зеленоград, корп. 1555",(499) 717-92-44,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1739»,бюджетное,Прусакова Татьяна Николаевна,37.1569411877,55.9796355294
216,Академический район,"117036, г. Москва, ул. Гримау, д.8",(499) 126-21-58,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 45 имени Л.И. Мильграма»,бюджетное,Шнейдер Михаил Яковлевич,37.5863290972,55.6919246775
217,район Крюково,"124683, г. Москва, Зеленоград, корп. 1556",(499) 717-03-67,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1194»,бюджетное,Ващилин Анатолий Сергеевич,37.1571479068,55.982201096
218,район Нагатинский Затон,"115407, г. Москва, ул.Затонная, д.7, корп.3",(499) 618-91-35,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 492»,бюджетное,Разоренова Жанна Николаевна,37.6808171635,55.6795729163
219,район Хорошёво-Мнёвники,"123308, г. Москва, ул. Мневники, д. 4",(967) 070-72-98,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж малого бизнеса № 48»,бюджетное,Радов Виктор Петрович,37.5006645129,55.7781894097
220,район Чертаново Северное,"117208, г. Москва, ул.Чертановская, д.1А, корп.3",(495) 316-11-36,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1179»,бюджетное,Холопова Анастасия Николаевна,37.6136124865,55.638191323
221,район Черёмушки,"119421, г. Москва, Ленинский пр-т, д.97, корп.2,3",(499) 120-61-96,Государственное бюджетное общеобразовательное учреждение города Москвы «Специальная (коррекционная) школа-интернат VIII вида № 108»,бюджетное,Бажанова Галина Павловна,37.5249535707,55.6714681014
222,район Арбат,"121069, г. Москва, Большая Молчановка, д. 26-28",(495) 691-64-41,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1234»,бюджетное,Волошко Ирина Григорьевна,37.590129592,55.7537294295
223,район Перово,"111524, г. Москва, ул.Плющева, д.11А",(495) 309-58-47,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2126 «Перово»,бюджетное,Щеголева Наталия Борисовна,37.7589857418,55.743239177
224,район Зябликово,"115573, г. Москва, Ореховый пр., д.17, корп.2",(495) 395-03-77,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 534»,бюджетное,Шестакова Дина Валентиновна,37.7387023914,55.6232495017
225,район Марьино,"107341, г. Москва, Перервинский бульвар, д. 16, корп. 1",(495) 346-45-51,Государственное бюджетное общеобразовательное учреждение города Москвы школа № 1959 «Дети мира»,бюджетное,Асирян Михаил Армаисович,37.7686080446,55.6556269044
226,район Печатники,"109548, г. Москва, ул. Полбина, д. 18",(495) 353-50-38,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 773 «Центр образования «Печатники»,бюджетное,Соловьев Андрей Сергеевич,37.7293088246,55.6882615634
227,Нагорный район,"117452, г. Москва, Черноморский б-р, д.6",(499) 610-77-66,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1862»,бюджетное,Ульянов Александр Ильич,37.6177019279,55.6508094721
228,район Нагатинский Затон,"115470, г. Москва, Судостроительная ул., д.10, корп.1",(499) 612-34-19,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 463 имени Героя Советского Союза Д.Н.Медведева»,бюджетное,Рузина Лидия Владимировна,37.6739547616,55.6781147638
229,Пресненский район,"123100, г. Москва, ул.2-я Черногрязская, д.7",(499) 256-37-65,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2055 имени Героев Советского Союза Анатолия Живова и Юрия Костикова»,бюджетное,Шелкова Наталия Михайловна,37.5380689499,55.7635147632
230,район Котловка,"117036, г. Москва, улица Дмитрия Ульянова, дом 26",(499) 127-69-95,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Образовательный комплекс «Юго-Запад»,бюджетное,Мадилов Сергей Павлович,37.5508659584,55.687717793
231,район Братеево,"115612, г. Москва, ул.Братеевская, д.8, корп.2",(495) 342-33-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1034»,бюджетное,Уколова Елена Васильевна,37.7592788474,55.6320072309
232,район Восточное Дегунино,"127540, г. Москва, Керамический пр. д. 47А",(499) 900-00-98,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1794»,бюджетное,Грива Игорь Анатольевич,37.5652323979,55.8739378635
233,Алексеевский район,"129626, г. Москва, ул.Павла Корчагина, д.18",(495) 683-10-38,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1503»,бюджетное,Цимбалюк Стелла Николаевна,37.6623166734,55.8185772468
234,район Ясенево,"119334, г. Москва, ул. Косыгина, д.17",(495) 426-31-88,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Воробьевы горы»,бюджетное,Шашков Андрей Анатольевич,37.5509937522,55.6967046906
235,район Братеево,"115408, г. Москва, ул.Алма-Атинская д.9, корп.3",(495) 341-83-77,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 975»,бюджетное,Чинилина Ирина Викторовна,37.774141845,55.6401977519
236,район Южное Бутово,"117041, г. Москва, ул. Адмирала Лазарева, д. 62, корп.2",(495) 714-20-09,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1492»,бюджетное,Аникина Татьяна Ивановна,37.5049988883,55.5399225198
237,район Кузьминки,"109457, г. Москва, ул.Зеленодольская, д.32, корп.6",(499) 172-06-05,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицейско-гимназический комплекс на Юго-Востоке»,бюджетное,Инглези Алла Александровна,37.7642134456,55.7119129571
238,район Выхино-Жулебино,"109542, г. Москва, Рязанский проспект, д. 82, корп. 4",(495) 372-05-22,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1363»,бюджетное,Лавриненко Елена Валерьевна,37.8145848433,55.7095074816
239,Бескудниковский район,"127474, г. Москва, Дубнинская улица, дом 41",(499) 488-00-85,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 183»,бюджетное,Исаева Елена Валентиновна,37.552369425,55.8754263998
240,Лосиноостровский район,"129346, г. Москва, Янтарный пр., д.2",(495) 474-27-62,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1381»,бюджетное,Одегова Галина Николаевна,37.704332853,55.8856475972
241,район Зюзино,"117149, г. Москва, улица Азовская, дом 2, корпус 2",(495) 123-65-15,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1279»,бюджетное,Анисимова Раиса Алексеевна,37.594767696,55.6577018746
242,район Преображенское,"107076, г. Москва, 1-й Зборовский переулок, д. 3",(495) 651-92-95,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр технологической модернизации образования»,бюджетное,Добряков Александр Анатольевич,37.7054207525,55.8004734013
243,район Тёплый Стан,"117133, г. Москва, ул.Академика Варги, д.34",(495) 339-39-66,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1101»,бюджетное,Варлен Нина Витальевна,37.4725766659,55.6333113338
244,Донской район,"115419, г. Москва, ул. Академика Петровского, д.10",(499) 236-42-83,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Строительный техникум № 30»,бюджетное,Востриков Сергей Петрович,37.6424822035,55.5939671253
245,район Южное Бутово,"117624, г. Москва, ул.Скобелевская, д.28",(495) 716-78-18,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1065»,бюджетное,Мухаметзянова Мария Алексеевна,37.5539962664,55.5449899628
246,район Арбат,"121069, г. Москва, ул. Поварская, д. 14",(000) 000-00-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 91»,бюджетное,Красавина Наталия Ювенальевна,37.5962916523,55.7541416951
247,Даниловский район,"115162, г. Москва, г, Хавская ул, 5",(000) 000-00-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 600»,бюджетное,Толкачева Ирина Ашеровна,37.6139559968,55.7179257298
248,район Чертаново Северное,"117648, г. Москва, микрорайон Северное Чертаново корп. 809",(495) 311-35-03,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1158»,бюджетное,Киркова Татьяна Григорьевна,37.5876269427,55.6321668988
249,район Зюзино,"117303, г. Москва, ул. Одесская, дом 16, корп. 2",(499) 723-10-09,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением восточных языков № 2042 имени Лазаревых»,бюджетное,Галоян Седа Вагановна,37.5884594631,55.6567414003
250,район Гольяново,"107497, г. Москва, ул. Новосибирская, д. 3 А",(495) 468-46-11,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1076»,бюджетное,Рощина Наталья Анатольевна,37.8187232379,55.8136595212
251,район Южное Медведково,"127642, г. Москва, улица Заповедная, дом 22",(499) 186-38-92,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 956»,бюджетное,Балакирева Елена Натановна,37.6428996781,55.8680120258
252,район Восточный,"105173, г. Москва, пос. Акулово, д. 43А",(495) 617-63-84,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 448»,бюджетное,Яшина Нина Владимировна,37.7927941449,56.0034099463
253,район Митино,"125368, г. Москва, ул. Барышиха, д. 17, корп. 1",(495) 754-14-61,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1944»,бюджетное,Соловатова Анися Хайдеровна,37.3438668438,55.8466981818
254,район Бирюлёво Восточное,"115404, г. Москва, ул.Липецкая, д.2, корп.13",(495) 327-50-91,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Финансовый колледж № 35»,бюджетное,Иванова Елена Анатольевна,37.6678679523,55.6050634593
255,район Строгино,"123592, г. Москва, ул. Кулакова, д.12, к. 2",(495) 758-27-27,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 89 имени А.П. Маресьева»,бюджетное,Докалюк Светлана Николаевна,37.3938252193,55.8095001321
256,район Отрадное,"127566, г. Москва, Северный бульвар, д. 1 а",(000) 000-00-00,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1411»,бюджетное,Овчинникова Нина Николаевна,37.6089222999,55.8691013391
257,Дмитровский район,"127644, г. Москва, Вагоноремонтная улица, дом 15-А",(495) 485-12-11,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 668 имени Героя Советского Союза В.П. Кислякова»,бюджетное,Нилова Вера Андреевна,37.5272006918,55.8941916661
258,район Ховрино,"125502, г. Москва, Петрозаводская ул., д. 19А",(499) 459-58-57,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 597,бюджетное,Зайцева Елена Вениаминовна,37.4904862095,55.8638859276
259,район Капотня,"109649, г. Москва, Капотня, 5 Квартал, д. 28",(495) 355-41-11,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1996»,бюджетное,Адамич Анжела Витальевна,37.7939830652,55.6347606233
260,район Силино,"124575, г. Москва, Зеленоград, корп. 1016",(499) 731-77-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1692»,бюджетное,Ясинова Анна Владимировна,37.1742005606,55.9884167057
261,район Тропарёво-Никулино,"119602, г. Москва, ул.Никулинская, д.5",(499) 792-03-01,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1741»,бюджетное,Панкин Павел Павлович,37.4524931828,55.6666105339
262,район Москворечье-Сабурово,"115522, г. Москва, ул.Кантемировская, д.22, корп.6",(499) 324-61-45,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2000»,бюджетное,Шмачкова Татьяна Михайловна,37.6518836043,55.6433574277
263,район Сокол,"125252, г. Москва, ул. Сальвадора Альенде, д. 9",(499) 157-67-12,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением французского языка № 1251 имени генерала Шарля де Голля»,бюджетное,Кравец Татьяна Викторовна,37.5069552268,55.7943770828
264,район Хамовники,"119034, г. Москва, 2-й Обыденский пер., д.9",(495) 637-76-15,Государственное бюджетное образовательное учреждение города Москвы гимназия № 1529 имени А.С.Грибоедова,бюджетное,Соловьева Марина Анатольевна,37.5955286719,55.7472744346
265,район Митино,"125464, г. Москва, Новотушинский проезд, д. 8, корп. 2",(495) 759-37-76,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1538»,бюджетное,Мухина Наталья Борисовна,37.386426946,55.8427497601
266,район Братеево,"115612, г. Москва, ул.Ключевая, д.6, корп.2",(495) 342-51-51,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 867»,бюджетное,Островская Людмила Тихоновна,37.7559561115,55.6375018103
267,район Северное Измайлово,"105425, г. Москва, Щелковское ш., д.26А",(499) 164-47-81,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 2033»,бюджетное,Акулова Ирина Анатольевна,37.7798317587,55.8083273471
268,район Москворечье-Сабурово,"115304, г. Москва, ул.Кошкина, д.13, корп.2",(499) 323-00-17,Государственное бюджетное общеобразовательное учреждение города Москвы школа с углубленным изучением отдельных предметов № 982 имени маршала бронетанковых войск П.П. Полубоярова,бюджетное,Мареичева Наталья Александровна,37.6825221321,55.6349330896
269,район Замоскворечье,"115054, г. Москва, ул.Дубининская, д.42",(499) 236-74-10,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 627 имени Генерала Д.Д. Лелюшенко»,бюджетное,Павлюченко Людмила Васильевна,37.6277319184,55.7262545065
270,район Марьина Роща,"129226, г. Москва, 2-ой Сельскохозяйственный проезд, д. 4, корп. 1",(495) 618-01-00,Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»,автономное,Реморенко Игорь Михайлович,37.5420717667,55.6816812158
271,район Южное Бутово,"117042, г. Москва, улица Поляны, дом 53",(495) 716-19-90,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1883 «Бутово»,бюджетное,Зерниченко Лариса Евгеньевна,37.5533008452,55.544394244
272,район Ново-Переделкино,"119634, г. Москва, ул.Шолохова, д.9",(495) 732-96-80,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1467»,бюджетное,Беляева Татьяна Владимировна,37.3431333906,55.6369989153
273,район Перово,"111141, г. Москва, ул. Перовская, д.37",(495) 306-68-40,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 920»,бюджетное,Глушкова Ирина Кузьминична,37.7787743022,55.7486273747
274,район Текстильщики,"109125, г. Москва, ул. Васильцовский стан, д 6.",(499) 754-13-67,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1367»,бюджетное,Пашков Андрей Анатольевич,37.7378565106,55.7144978954
275,район Лианозово,"127576, г. Москва, улица Угличская, дом 6 А",(499) 200-62-29,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр образования № 1449 имени Героя Советского Союза М.В. Водопьянова»,бюджетное,Быховская Фаина Леонидовна,37.569891081,55.8951649009
276,район Щукино,"123098, г. Москва, ул. Маршала Новикова, д. 13",(499) 193-51-58,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1874»,бюджетное,Овсянникова Татьяна Михайловна,37.4713873732,55.802582806
277,Даниловский район,"115191, г. Москва, ул.Малая Тульская, д.15",(499) 235-74-62,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 547»,бюджетное,Белоусова Ольга Андреевна,37.6164104829,55.708654115
278,район Коньково,"117485, г. Москва, Профсоюзная ул., дом 96 Б",(495) 336-65-33,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 170 имени А.П.Чехова»,бюджетное,Киселев Виктор Евгеньевич,37.5247570246,55.6512638955
279,район Новогиреево,"111396, г. Москва, Союзный просп., д.2",(495) 303-35-12,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2093 имени А.Н. Савельева,бюджетное,Бойко Римма Владимировна,37.8036931536,55.7515519352
280,район Проспект Вернадского,"119415, г. Москва, пр-т Вернадского, д.57",(495) 936-41-20,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 323»,бюджетное,Копылова Светлана Викторовна,37.508808734,55.667268053
281,Ломоносовский район,"117335, г. Москва, улица Архитектора Власова, дом 19а",(499) 134-80-21,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1205»,бюджетное,Баскаков Андрей Николаевич,37.5585616456,55.6773275506
282,Бескудниковский район,"127474, г. Москва, Бескудниковский бульвар, д. 29",(499) 488-32-75,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 656 имени А.С. Макаренко»,бюджетное,Минигалина Анастасия Николаевна,37.5552747357,55.8676424938
283,Таганский район,"109147, г. Москва, Нижегородская улица, дом 3",(495) 623-14-69,Государственное бюджетное учреждение города Москвы «Центр дополнительного образования «Лаборатория путешествий»,бюджетное,Шпаро Матвей Дмитриевич,37.6756053738,55.7394992543
284,район Замоскворечье,"115054, г. Москва, ул.Бахрушина, д.17, стр.1",(495) 951-01-44,Государственное бюджетное образовательное учреждение города Москвы центр детского творчества «Москворечье»,бюджетное,Колиниченко Татьяна Владимировна,37.6358663723,55.7352742993
285,Тимирязевский район,"127411, г. Москва, ул. Учинская, д. 10",(499) 977-45-91,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр развития творчества детей и юношества «Гермес»,бюджетное,Лыков Алексей Алексеевич,37.5723029633,55.8422252473
286,район Кузьминки,"109462, г. Москва, Волгоградский проспект, д.66, корпус 4",(499) 178-20-71,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 641 имени Сергея Есенина»,бюджетное,Голоднова Лариса Васильевна,37.7568069703,55.7047831882
287,Тверской район,"127055, г. Москва, Тихвинский пер., д.3",(499) 978-42-44,Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильный лицей № 1501»,бюджетное,Рахимова Наталия Турсуновна,37.5961066181,55.7879633791
288,район Ивановское,"111555, г. Москва, улица Сталеваров, дом 10 А",(495) 300-07-04,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1504»,бюджетное,Шарай Надежда Андреевна,37.8380150732,55.7657833447
289,район Орехово-Борисово Северное,"115569, г. Москва, Шипиловский пр-д, д.37, корп.2",(495) 391-94-09,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 878»,бюджетное,Сысоева Людмила Анатольевна,37.697836128,55.6140141728
290,Войковский район,"125171, г. Москва, ул. 3-я Радиаторская, д.8А",(499) 150-85-62,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2099»,бюджетное,Брянцева Оксана Николаевна,37.4971778756,55.8163131685
291,район Бирюлёво Западное,"117546, г. Москва, ул. Медынская, д. 9А",(495) 383-78-87,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 933»,бюджетное,Абдуллаева Светлана Викторовна,37.6526597469,55.5828397527
292,район Лефортово,"111033, г. Москва, Танковый проезд, д. 3А",(495) 362-22-61,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 415»,бюджетное,Говорущенко Матвей Станиславович,37.6772654175,55.7539002418
293,Бабушкинский район,"129344, г. Москва, ул.Радужная, д.7",(495) 471-42-33,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 281»,бюджетное,Вологина Елена Станиславовна,37.6772401251,55.8668740739
294,район Очаково-Матвеевское,"119501, г. Москва, ул.Веерная, д.5, корп.3",(495) 442-90-23,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 814»,бюджетное,Иванцов Максим Николаевич,37.4620723433,55.7080391816
295,район Дорогомилово,"121059, г. Москва, ул.Брянская, д.10",(499) 240-52-63,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1465 имени адмирала Н.Г. Кузнецова»,бюджетное,Луцишин Артур Васильевич,37.5418198511,55.7420512887
296,район Ново-Переделкино,"119620, г. Москва, ул. Авиаторов, дом 8, корпус 2",(495) 732-94-27,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1542»,бюджетное,Сахарова Светлана Николаевна,37.4066601887,55.6407049781
297,район Бирюлёво Восточное,"115372, г. Москва, ул.Лебедянская, д.16",(495) 329-86-60,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 947»,бюджетное,Кузина Марина Юрьевна,37.6754609796,55.5824374063
298,Тимирязевский район,"127238, г. Москва, ул.3-й Нижнелихоборский пр-д, д.6А",(499) 488-70-10,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1213»,бюджетное,Селиверстова Анна Евгеньевна,37.5766012993,55.8398036268
299,Войковский район,"125212, г. Москва, Ленинградское шоссе, д. 27",(499) 150-86-68,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1250»,бюджетное,Шевченко Ольга Геннадьевна,37.4853175641,55.8298486328
300,район Некрасовка,"111674, г. Москва, ул.Вольская 1-я, д.22, корп.2",(495) 706-83-33,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1366»,бюджетное,Львова Елена Васильевна,37.9248906621,55.6827780701
301,Ломоносовский район,"117393, г. Москва, ул. Академика Пилюгина, дом 18, корпус 1",(499) 134-45-17,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 117»,бюджетное,Бабурина Ирина Алексеевна,37.5378476771,55.6727448499
302,район Царицыно,"115516, г. Москва, ул.Веселая, д.12",(495) 321-16-77,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 870»,бюджетное,Поморина Инна Вячеславовна,37.6662994596,55.6204920183
303,район Южное Медведково,"127081, г. Москва, ул.Заповедная, д.12",(499) 477-34-59,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1482,бюджетное,Найдина Юлия Анатольевна,37.6356419902,55.8673195939
304,район Марьино,"109652, г. Москва, ул. Люблинская, д. 173А",(495) 345-58-71,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1566 «Марьинская гимназия с кадетскими классами памяти Героев Сталинградской битвы»,бюджетное,Смирнова Татьяна Викторовна,37.75548514,55.6507744128
